run,cluster,start,workload,slack,jobs,fixed_work_gpu_h,week_allocation_gpu_h,cohort_share_of_week_gpu_h,cohort_incremental_gpu_energy_saving_pct,all_gpu_energy_saving_pct,upper_bound_on_cohort_saving_pct,exact_gang_capacity_excess_gpus,max_work_error_gpu_h,max_deadline_or_release_violation_s
Earth_2020-09-07_pt_mpt_13b_lg_6,Earth,2020-09-07,pt_mpt_13b_lg,6,4812,56088.45361111111,145949.22916666666,0.384301129450029,16.749551933214686,4.915603346110455,19.216521527740703,0.0,9.14610609470401e-11,0.0
Earth_2020-09-07_pt_mpt_13b_lg_24,Earth,2020-09-07,pt_mpt_13b_lg,24,4812,56088.45361111111,145949.22916666666,0.384301129450029,24.500984389218623,7.190468218305823,25.234280541664898,0.0,9.14610609470401e-11,0.0
Earth_2020-09-07_pt_mpt_13b_sm_0,Earth,2020-09-07,pt_mpt_13b_sm,0,4812,56088.45361111111,145949.22916666666,0.384301129450029,2.4650094122261046,0.723422845174989,2.9577825526622767,0.0,3.6776803824523085e-11,0.0
Earth_2020-09-07_pt_mpt_13b_sm_6,Earth,2020-09-07,pt_mpt_13b_sm,6,4812,56088.45361111111,145949.22916666666,0.384301129450029,17.12247495358663,5.02504756611653,19.886710915547802,0.0,9.35900246190613e-11,0.0
Earth_2020-09-07_pt_mpt_13b_sm_24,Earth,2020-09-07,pt_mpt_13b_sm,24,4812,56088.45361111111,145949.22916666666,0.384301129450029,25.364811991014843,7.4439814983495545,25.99019397560419,0.0,9.35900246190613e-11,0.0
Earth_2020-09-07_pt_mpt_7b_fast_0,Earth,2020-09-07,pt_mpt_7b_fast,0,4812,56088.45361111111,145949.22916666666,0.384301129450029,2.6108754404967787,0.7662311268239628,3.0378165425337382,0.0,4.4849457481177524e-11,0.0
Earth_2020-09-07_pt_mpt_7b_fast_6,Earth,2020-09-07,pt_mpt_7b_fast,6,4812,56088.45361111111,145949.22916666666,0.384301129450029,18.310339714264423,5.373658204514292,20.615765466597406,0.0,8.330403034051415e-11,0.0
Earth_2020-09-07_pt_mpt_7b_fast_24,Earth,2020-09-07,pt_mpt_7b_fast,24,4812,56088.45361111111,145949.22916666666,0.384301129450029,25.29696390243725,7.4240696647334055,26.070779491903345,0.0,8.330403034051415e-11,0.0
Venus_2020-05-04_ft_llama_8b_dolly_0,Venus,2020-05-04,ft_llama_8b_dolly,0,3781,34227.01166666667,108488.35416666667,0.3154901918235848,5.421016752240347,1.3038566705773027,5.794199485011623,0.0,4.282052490367505e-11,0.0
Venus_2020-05-04_ft_llama_8b_dolly_6,Venus,2020-05-04,ft_llama_8b_dolly,6,3781,34227.01166666667,108488.35416666667,0.3154901918235848,30.516599701955627,7.339817215707446,32.96668795300194,0.0,3.5744962545436465e-11,0.0
