run,cluster,start,workload,slack,tariff,status,jobs,runtime_s,total_saving,mode_shapley,start_shapley,interaction_saving,mode_share_pct,mode_first,mode_last,start_first,start_last,optimal_mode_share_lower_pct,optimal_mode_share_upper_pct
Saturn_infer_llama_8b_32g_0_Jiangsu,Saturn,2020-04-06,infer_llama_8b_32g,0,Jiangsu,constructed_pending_independent_verification,14089,13.021070003509521,9589.090912438973,3010.3726241162367,6578.718288322736,6020.745248232488,31.3937228419764,0.0,6020.745248232473,3568.3456642064994,9589.090912438973,30.599643752812078,32.1527555009765
Saturn_infer_llama_8b_32g_0_Gansu,Saturn,2020-04-06,infer_llama_8b_32g,0,Gansu,constructed_pending_independent_verification,14089,11.91545295715332,7942.034902138359,3180.362388569185,4761.672513569174,6360.72477713837,40.04467907479085,0.0,6360.72477713837,1581.310124999989,7942.034902138359,39.912962202113356,40.41345783761621
Saturn_infer_llama_8b_32g_0_Guizhou,Saturn,2020-04-06,infer_llama_8b_32g,0,Guizhou,constructed_pending_independent_verification,14089,19.231679916381836,9072.836814098628,2877.042357049322,6195.7944570493055,5754.084714098644,31.710504839881793,0.0,5754.084714098644,3318.7520999999833,9072.836814098628,30.794127727589338,32.339945371483836
Saturn_infer_llama_8b_32g_6_Jiangsu,Saturn,2020-04-06,infer_llama_8b_32g,6,Jiangsu,constructed_pending_independent_verification,14089,104.90119981765747,33658.99480259683,26604.959744767417,7054.0350578294165,-8155.005509670329,79.04264491794868,30682.46249960258,22527.456989932238,11131.537812664596,2976.532302994252,66.94776547650139,84.26005684204709
Saturn_infer_llama_8b_32g_6_Gansu,Saturn,2020-04-06,infer_llama_8b_32g,6,Gansu,constructed_pending_independent_verification,14089,92.32068824768066,32292.765423793113,27217.775705319495,5074.989718473618,-5825.922813052777,84.28443754546213,30130.73711184587,24304.814298793106,7987.951125000007,2162.028311947244,73.14982662196094,88.40102394681786
Saturn_infer_llama_8b_32g_6_Guizhou,Saturn,2020-04-06,infer_llama_8b_32g,6,Guizhou,constructed_pending_independent_verification,14089,99.38531494140625,32272.20384386857,25650.792734517287,6621.411109351284,-7823.644281297311,79.48261872233653,29562.614875165935,21738.970593868624,10533.233249999947,2709.5889687026356,67.22609113468212,84.46482498959146
Saturn_infer_llama_8b_32g_24_Jiangsu,Saturn,2020-04-06,infer_llama_8b_32g,24,Jiangsu,constructed_pending_independent_verification,14089,407.5691177845001,35186.57063736931,27964.854571616954,7221.716065752356,-8364.245281996715,79.47593091643135,32146.977212615297,23782.731930618596,11403.838706750714,3039.5934247540135,56.43329564909509,88.11180925723569
Saturn_infer_llama_8b_32g_24_Gansu,Saturn,2020-04-06,infer_llama_8b_32g,24,Gansu,constructed_pending_independent_verification,14089,296.33972930908203,34471.473110542196,28874.947470979678,5596.525639562518,-5090.364970875002,83.76476217997492,31420.129956417193,26329.764985542177,8141.708125000019,3051.343154125003,62.18104106283769,91.1555382762958
Saturn_infer_llama_8b_32g_24_Guizhou,Saturn,2020-04-06,infer_llama_8b_32g,24,Guizhou,constructed_pending_independent_verification,14089,352.08432817459106,34139.74596853783,27351.446311699678,6788.2996568381495,-7443.684886323623,80.11613893350571,31073.288754861496,23629.603868537873,10510.142099999954,3066.457213676331,56.225115224364544,88.5508760854082
Saturn_pt_mpt_13b_lg_0_Jiangsu,Saturn,2020-04-06,pt_mpt_13b_lg,0,Jiangsu,constructed_pending_independent_verification,14089,11.778867959976196,5924.091770205589,1177.8730529995446,4746.218717206044,2355.7461059991037,19.88276175807229,0.0,2355.746105999089,3568.3456642064994,5924.091770205589,18.597417628874346,22.224028371718063
Saturn_pt_mpt_13b_lg_0_Gansu,Saturn,2020-04-06,pt_mpt_13b_lg,0,Gansu,constructed_pending_independent_verification,14089,10.156023740768433,4325.048350804966,1371.8691129024883,2953.1792379024773,2743.7382258049765,31.719162460858037,0.0,2743.7382258049765,1581.310124999989,4325.048350804966,31.47729233244405,32.95780983303871
Saturn_pt_mpt_13b_lg_0_Guizhou,Saturn,2020-04-06,pt_mpt_13b_lg,0,Guizhou,constructed_pending_independent_verification,14089,9.980587005615234,5422.841917292055,1052.0449086460358,4370.797008646019,2104.0898172920715,19.400250361186703,0.0,2104.0898172920715,3318.7520999999833,5422.841917292055,17.867080092384846,22.176148224857428
Saturn_pt_mpt_13b_lg_6_Jiangsu,Saturn,2020-04-06,pt_mpt_13b_lg,6,Jiangsu,constructed_pending_independent_verification,14089,77.75399899482727,16627.659001441614,9849.172022810926,6778.486978630688,-8706.1016680678,59.233666158038275,14202.222856844834,5496.121188777019,11131.537812664596,2425.4361445967807,44.833205808031764,69.5298939822123
Saturn_pt_mpt_13b_lg_6_Gansu,Saturn,2020-04-06,pt_mpt_13b_lg,6,Gansu,constructed_pending_independent_verification,14089,63.688873052597046,15847.3869042492,11031.185462478148,4816.2014417710525,-6343.499366457923,69.60886062244323,14202.935145707102,7859.435779249194,7987.951125000007,1644.451758542098,55.708503052844094,77.63205870814093
Saturn_pt_mpt_13b_lg_6_Guizhou,Saturn,2020-04-06,pt_mpt_13b_lg,6,Guizhou,constructed_pending_independent_verification,14089,56.25477075576782,16008.866982379099,9613.873751772648,6394.993230606451,-8276.480038786991,60.053430154392586,13752.113771166143,5475.633732379152,10533.233249999947,2256.7532112129556,45.33624887233625,69.83668950334678
Saturn_pt_mpt_13b_lg_24_Jiangsu,Saturn,2020-04-06,pt_mpt_13b_lg,24,Jiangsu,constructed_pending_independent_verification,14089,229.89710116386414,19073.504772619926,12120.518103240254,6952.986669379672,-8901.704074742098,63.54636050234089,16571.370140611296,7669.666065869213,11403.838706750714,2502.1346320086304,34.02785063633096,81.8225102187706
Saturn_pt_mpt_13b_lg_24_Gansu,Saturn,2020-04-06,pt_mpt_13b_lg,24,Gansu,constructed_pending_independent_verification,14089,196.67399406433105,18295.831153206265,13105.64932377921,5190.181829427056,-5903.052591145941,71.63188823746059,16057.175619352172,10154.123028206246,8141.708125000019,2238.655533854093,44.478738110529115,86.43372742356861
