run,province,ai_share,workload,mapping,node_idle,gpu_idle,active_overhead,C00,C10,C01,C11,total_reduction_pct,mode_first_share_pct,symmetric_mode_share_pct,interaction_eur_per_week,grid_first_share_pct,new_gas_S0_MW,new_gas_S0e_MW,new_gas_S2_MW,ai_mwh_S0,ai_mwh_S0e,ai_mwh_S2,modes_kept
Gansu_ai0.1_pt_mpt_13b_lg_legacy_I0.41_g0.1_d0,Gansu,0.1,pt_mpt_13b_lg,legacy,0.41,0.1,0.0,9663509.31826803,8604315.554916412,9662349.185284168,8604315.554212213,10.960756896601774,99.99999993351555,99.94523505861571,-1160.132279664278,0.10952981628413515,0.0,0.0,0.0,344563.5905931281,306954.8126983959,306954.812673424,5
Gansu_ai0.1_pt_mpt_13b_lg_component_I0.41_g0.1_d0,Gansu,0.1,pt_mpt_13b_lg,component,0.41,0.1,0.0,9663509.31826803,9244774.408108413,9662349.185284168,9244679.804452837,4.334134733263342,99.97741237127372,99.85020914261624,-1065.5293282866478,0.27699408604123693,0.0,0.0,0.0,344563.5905931281,329742.541714051,329751.02791989926,6
Gansu_ai0.1_pt_mpt_13b_sm_legacy_I0.41_g0.1_d0,Gansu,0.1,pt_mpt_13b_sm,legacy,0.41,0.1,0.0,9663509.31826803,8591847.141777843,9662349.185284168,8591847.141073614,11.089782623467146,99.9999999342863,99.9458722294777,-1160.1322796344757,0.10825547533090618,0.0,0.0,0.0,344563.5905931281,306514.8215023385,306514.8214773666,5
Gansu_ai0.1_pt_mpt_13b_sm_component_I0.41_g0.1_d0,Gansu,0.1,pt_mpt_13b_sm,component,0.41,0.1,0.0,9663509.31826803,9225295.934679538,9662349.185284168,9225295.04279697,4.534732270011425,99.99979647341073,99.86752772200497,-1159.241101294756,0.26474102940080185,0.0,0.0,0.0,344563.5905931281,329052.7023571845,329063.5511497349,6
Gansu_ai0.1_pt_mpt_7b_fast_legacy_I0.41_g0.1_d0,Gansu,0.1,pt_mpt_7b_fast,legacy,0.41,0.1,0.0,9663509.31826803,8556973.535696626,9662349.185284168,8556973.534992456,11.45066193689868,99.99999993636273,99.94757812148657,-1160.1322796940804,0.10484369338957304,0.0,0.0,0.0,344563.5905931281,305274.76068148296,305274.76065651106,5
Gansu_ai0.1_pt_mpt_7b_fast_component_I0.41_g0.1_d0,Gansu,0.1,pt_mpt_7b_fast,component,0.41,0.1,0.0,9663509.31826803,9212170.609011918,9662349.185284168,9212045.492941946,4.671841361736276,99.97228657913352,99.8576575816559,-1035.0169138908386,0.25697141582172356,0.0,0.0,0.0,344563.5905931281,328585.7838637881,328593.6584627753,6
Gansu_ai0.1_ft_llama_8b_dolly_component_I0.41_g0_d0,Gansu,0.1,ft_llama_8b_dolly,component,0.41,0.0,0.0,9663509.31826803,9071677.349792033,9662349.185284168,9070887.038128018,6.132578348320224,99.86664158765203,99.83543947694494,-369.821319848299,0.19576263376214298,0.0,0.0,0.0,344563.5905931281,323587.5015733438,323587.5015483719,6
Gansu_ai0.1_ft_llama_8b_dolly_component_I0.41_g0.2_d0,Gansu,0.1,ft_llama_8b_dolly,component,0.41,0.2,0.0,9663509.31826803,8780979.525311291,9662349.185284168,8779506.706242234,9.147842496045062,99.83339200031519,99.85107781260469,312.6860851943493,0.13123637510581226,0.0,0.0,0.0,344563.5905931281,313241.7940504131,313241.79402544117,6
Gansu_ai0.1_ft_llama_8b_dolly_component_I0.41_g0.1_d0.1,Gansu,0.1,ft_llama_8b_dolly,component,0.41,0.1,0.1,9663509.31826803,9148860.587969959,9662349.185284168,9148105.97679323,5.3335007449154705,99.85358822576316,99.81424798730315,-405.52180713415146,0.22509225115686876,0.0,0.0,0.0,344563.5905931281,326326.056088076,326326.056063104,6
Gansu_ai0.1_ft_llama_8b_dolly_component_I0.25_g0.1_d0,Gansu,0.1,ft_llama_8b_dolly,component,0.25,0.1,0.0,9092321.540709794,8199060.877313733,9089122.24282378,8196770.844296187,9.849527344626829,99.74428772969338,99.6935220459577,-909.2648684680462,0.35724363777797813,0.0,0.0,0.0,324234.20950640994,292560.138617651,292560.13859267917,6
Guizhou_ai0.1_ft_llama_8b_dolly_legacy_I0.41_g0.1_d0,Guizhou,0.1,ft_llama_8b_dolly,legacy,0.41,0.1,0.0,13604233.053009003,11745506.156159073,13448696.69516559,11654348.311453879,14.332926626274212,95.32496240611168,93.67413372464625,-64378.513138219714,7.976694956819161,0.0,0.0,0.0,578778.9890543001,502143.84639952925,509876.5522352735,5
Guizhou_ai0.1_ft_llama_8b_dolly_component_I0.41_g0.1_d0,Guizhou,0.1,ft_llama_8b_dolly,component,0.41,0.1,0.0,13604233.053009003,12568064.525283888,13448696.69516559,12451815.953120634,8.47101850870951,89.91263040313142,88.2080485427978,-39287.78568015993,13.49653331753583,0.0,0.0,0.0,578778.9890543001,536924.8893075273,540442.5178014003,6
Guizhou_ai0.1_ft_llama_8b_p3_legacy_I0.41_g0.1_d0,Guizhou,0.1,ft_llama_8b_p3,legacy,0.41,0.1,0.0,13604233.053009003,11895938.807668686,13448696.69516559,11795732.641427547,13.293659440665419,94.4591571226952,92.9294314104989,-55330.191602274776,8.600294301697394,0.0,0.0,0.0,578778.9890543001,508545.04745317576,515205.06277479825,5
Guizhou_ai0.1_ft_llama_8b_p3_component_I0.41_g0.1_d0,Guizhou,0.1,ft_llama_8b_p3,component,0.41,0.1,0.0,13604233.053009003,12688617.733806804,13448696.69516559,12570605.58206074,7.597837135843868,88.58271910693333,86.76754840220524,-37524.206097349524,15.047622302522859,0.0,0.0,0.0,578778.9890543001,542059.5809302378,544864.671033151,6
Guizhou_ai0.1_infer_llama_8b_legacy_I0.41_g0.1_d0,Guizhou,0.1,infer_llama_8b,legacy,0.41,0.1,0.0,13604233.053009003,11596673.601864591,13448696.69516559,11501956.650299951,15.453104886673987,95.4945528835987,94.04803980376771,-60819.40627877414,7.398473276063293,0.0,0.0,0.0,578778.9890543001,495578.9027348241,502344.4099898562,5
Guizhou_ai0.1_infer_llama_8b_component_I0.41_g0.1_d0,Guizhou,0.1,infer_llama_8b,component,0.41,0.1,0.0,13604233.053009003,12489089.233097494,13448696.69516559,12370713.653032705,9.067173395000511,90.40342778013357,88.89713700840596,-37160.77777862549,12.609153763321643,0.0,0.0,0.0,578778.9890543001,533686.2432822097,537280.3143078614,6
Guizhou_ai0.1_infer_llama_8b_32g_legacy_I0.41_g0.1_d0,Guizhou,0.1,infer_llama_8b_32g,legacy,0.41,0.1,0.0,13604233.053009003,11595599.429017738,13448696.69516559,11500948.102160692,15.460518374338667,95.49983340018338,94.05245388648952,-60885.030986368656,7.394925627204339,0.0,0.0,0.0,578778.9890543001,495533.064521593,502304.9849027932,5
Guizhou_ai0.1_infer_llama_8b_32g_component_I0.41_g0.1_d0,Guizhou,0.1,infer_llama_8b_32g,component,0.41,0.1,0.0,13604233.053009003,12488358.757041514,13448696.69516559,12370005.601086393,9.072378039345791,90.41074999824733,88.90441492887372,-37183.20188829303,12.601920140499884,0.0,0.0,0.0,578778.9890543001,533656.1937868693,537253.570931836,6
Guizhou_ai0.1_infer_llama_8b_48g_legacy_I0.41_g0.1_d0,Guizhou,0.1,infer_llama_8b_48g,legacy,0.41,0.1,0.0,13604233.053009003,11595599.429017723,13448696.69516559,11500948.102160692,15.460518374338667,95.49983340018407,94.05245388648987,-60885.03098638356,7.394925627204339,0.0,0.0,0.0,578778.9890543001,495533.06452159304,502304.9849027932,5
Guizhou_ai0.1_infer_llama_8b_48g_component_I0.41_g0.1_d0,Guizhou,0.1,infer_llama_8b_48g,component,0.41,0.1,0.0,13604233.053009003,12488358.757041514,13448696.69516559,12370005.601086393,9.072378039345791,90.41074999824733,88.90441492887372,-37183.20188829303,12.601920140499884,0.0,0.0,0.0,578778.9890543001,533656.1937868693,537253.570931836,6
Guizhou_ai0.1_pt_mpt_13b_lg_legacy_I0.41_g0.1_d0,Guizhou,0.1,pt_mpt_13b_lg,legacy,0.41,0.1,0.0,13604233.053009003,12068411.48943901,13448696.69516559,11947122.466786161,12.180845327817435,92.68069230495284,91.64734741308818,-34247.335190564394,9.385997478776469,0.0,0.0,0.0,578778.9890543001,515605.83018394175,520343.82729226875,5
Guizhou_ai0.1_pt_mpt_13b_lg_component_I0.41_g0.1_d0,Guizhou,0.1,pt_mpt_13b_lg,component,0.41,0.1,0.0,13604233.053009003,12956812.249926955,13448696.69516559,12848442.41199407,5.555554936981668,85.66139456459035,82.54105161834862,-47166.519910529256,20.579291327893106,0.0,0.0,0.0,578778.9890543001,553883.4054199691,555650.9086668394,6
Guizhou_ai0.1_pt_mpt_13b_sm_legacy_I0.41_g0.1_d0,Guizhou,0.1,pt_mpt_13b_sm,legacy,0.41,0.1,0.0,13604233.053009003,12058756.316120028,13448696.69516559,11935818.024086297,12.26394036636769,92.63143223343457,91.65451506220977,-32598.06580968201,9.322402109015018,0.0,0.0,0.0,578778.9890543001,514866.75714604906,519895.03080400545,5
Guizhou_ai0.1_pt_mpt_13b_sm_component_I0.41_g0.1_d0,Guizhou,0.1,pt_mpt_13b_sm,component,0.41,0.1,0.0,13604233.053009003,12932246.574766904,13448696.69516559,12825080.42940496,5.727280770390141,86.24580831593201,83.14178151706635,-48370.212481468916,19.96224528179932,0.0,0.0,0.0,578778.9890543001,552724.65116828,554803.1312686705,6
Guizhou_ai0.1_pt_mpt_7b_fast_legacy_I0.41_g0.1_d0,Guizhou,0.1,pt_mpt_7b_fast,legacy,0.41,0.1,0.0,13604233.053009003,12012296.806112334,13448696.69516559,11886993.629195496,12.62283156369249,92.7032203442794,91.82293596146931,-30233.180926576257,9.057348421340766,0.0,0.0,0.0,578778.9890543001,512783.77110847854,518145.3745446615,5
Guizhou_ai0.1_pt_mpt_7b_fast_component_I0.41_g0.1_d0,Guizhou,0.1,pt_mpt_7b_fast,component,0.41,0.1,0.0,13604233.053009003,12916251.96567142,13448696.69516559,12805461.678591743,5.871491404953453,86.12991268490268,83.32898164275177,-44746.07076373696,19.471949399399136,0.0,0.0,0.0,578778.9890543001,551940.3471357106,553914.7547229119,6
Guizhou_ai0.1_ft_llama_8b_dolly_component_I0.41_g0_d0,Guizhou,0.1,ft_llama_8b_dolly,component,0.41,0.0,0.0,13604233.053009003,12728130.247577071,13448696.69516559,12608637.00723204,7.318281316540339,87.99781890939728,86.18769131541639,-36043.117498382926,15.622436278564502,0.0,0.0,0.0,578778.9890543001,543544.5071513074,546489.703397545,6
Guizhou_ai0.1_ft_llama_8b_dolly_component_I0.41_g0.2_d0,Guizhou,0.1,ft_llama_8b_dolly,component,0.41,0.2,0.0,13604233.053009003,12325450.375155702,13448696.69516559,12195248.739419773,10.356955133737502,90.759184862445,89.86014284107048,-25334.722107484937,11.038899180304034,0.0,0.0,0.0,578778.9890543001,526166.3560504734,530708.9099490625,6
