province,idle,weather_year,cost_S0,cost_S0e,cost_S1,cost_S1rt,cost_S2,red_S0_S2_pct,red_S0_S0e_pct,gap_S0e_S2_pct,timing_share_S1,gap_S0_S2_pct,gap_S1_S2_pct,gap_S1rt_S2_pct,co2_S0,co2_S2,curtail_NOAI,curtail_S2,new_ocgt_S0,new_ocgt_S2,new_batt_S0
Jiangsu,0.25,2017,54252131.90293795,45935470.38234997,46288480.656746686,45681567.954909265,45553354.03715414,16.03398347800732,15.32964923013026,0.8388325146907238,-0.9238292965871537,19.09580106590818,1.6137705666918967,0.28145878709733285,983961.2379580028,892414.76946209,-7.807418636471124e-19,-5.687091351863446e-19,0.0,0.0,0.0
Jiangsu,0.25,2018,50937105.945039034,43160380.67376739,43619389.0281142,42873330.867759645,42791595.41701764,15.991310022226967,15.267308825245596,0.8618170300869199,-1.2446494157392152,19.035304593439008,1.9344770930586952,0.19100818734489877,977580.2402931713,876419.9506302141,-4.706201407711214e-18,-1.2401499344557475e-18,0.0,0.0,0.0
Jiangsu,0.25,2019,53474271.330239534,45380622.955960155,45723049.46888459,45193439.842252016,45055651.57338166,15.7433089735197,15.135593572272665,0.7212666363268783,-1.0537128229798036,18.684936213044345,1.4812745398120386,0.30581794749087177,997438.7013264447,998027.5619359016,3.0251136199937218e-18,-4.741080210180218e-19,0.0,0.0,0.0
Jiangsu,0.25,2020,56845985.70398897,47718820.00606364,47880343.16084069,47475396.75172037,47345365.72858864,16.712912719769513,16.05595467277624,0.7887873960375824,-0.43251119218433115,20.06663129368025,1.1299467730777613,0.2746436132252894,1517229.968129661,1342171.2455265,0.0,0.0,0.0,0.0,0.0
Jiangsu,0.25,2021,52729270.62879908,44605725.018003225,45034978.91256875,44466240.138423204,44377954.08285296,15.838103668714309,15.406140676558167,0.5132524467554855,-1.8845859076898204,18.818615500737913,1.4805207749981841,0.19894124773174315,1050960.6529892422,947783.949661877,2.867964659195373e-17,5.131768982928393e-17,0.0,0.0,-0.0
Jiangsu,0.25,2022,53717367.98056495,45275827.85215342,45587340.572092414,44958753.34763658,44850857.38748515,16.505854486928186,15.714731465372056,0.947519154420573,-0.7330220470313296,19.768876470918585,1.6420715845953282,0.24056610383003108,765346.8099785391,720050.0213154312,-4.654472598521302e-19,-1.5729130213968364e-19,0.0,0.0,0.0
Jiangsu,0.25,2023,53545860.038179696,45114073.36832327,45511218.507447064,44915694.30370337,44780580.337580144,16.369668344760292,15.7468507627748,0.7447269066838125,-1.1908648832595974,19.573841237702027,1.6315960274721153,0.3017244642759431,1016421.9197074026,912416.5778867453,-3.3610721723939933e-18,4.7227456792844285e-17,0.0,0.0,0.0
Jiangsu,0.25,2024,56011745.700600445,46944133.58214909,47077715.559245646,46712216.10816008,46567974.65926951,16.86034049324354,16.18876898949099,0.8077631153853515,-0.35512111762219845,20.2795399852141,1.0946168556949853,0.3097438742954983,1556121.71692482,1359115.706625171,0.0,0.0,0.0,0.0,0.0
Guizhou,0.41,2015,13601626.018553287,11706605.354660675,11682843.108451411,11635463.329592183,11594373.024949983,14.757448784912274,13.932309720232794,0.967989640053668,0.21172371874055482,17.312303039447553,0.7630432737591786,0.35439867730473473,496422.9747345685,423059.80058197817,0.12245023779582113,0.0012941842747056283,0.0,0.0,0.0
Guizhou,0.41,2016,13336364.83549413,11509792.546029687,11473482.682165623,11400821.356332168,11372043.000415325,14.729064923680346,13.696178171454221,1.2112999010760905,0.26359334763771847,17.27325367136816,0.8920093051582034,0.25306232060318123,486499.8604906709,414675.6824668697,0.18666007746421384,0.019631928867525718,0.0,0.0,0.0
Guizhou,0.41,2017,12797687.751089752,11028684.207636192,10973202.589471504,10896382.966136277,10862684.103082329,15.119947334569506,13.822837202001004,1.5281683880207897,0.33422640493991845,17.81331050083983,1.0174141615497678,0.3102259325058032,466348.0230682986,395565.58957707835,0.2524229300341027,0.038312565527911964,0.0,0.0,-0.0
Guizhou,0.41,2018,13046825.897779956,11224976.937142745,11185169.717799112,11104513.285083473,11069487.429877862,15.155705176065526,13.963924826706064,1.4046676347921672,0.25601225474217587,17.862963216932904,1.045055506445669,0.3164180403789185,475827.30767547246,403519.78972353274,0.20800691719006506,0.02751266992208141,0.0,0.0,-0.0
Guizhou,0.41,2019,13437382.543345675,11577304.461460575,11549095.201864973,11480368.306741536,11442661.000916928,14.844569141306119,13.842562536899926,1.1766796248954492,0.20951080343377054,17.43232227424114,0.9301525312994663,0.3295326657111186,490604.90768243,417692.78288955614,0.14621421796188047,0.011403972455480629,0.0,0.0,0.0
Guizhou,0.41,2020,12813836.527697816,11054524.275998577,11018107.046246096,10949553.351547778,10914761.77138333,14.820500887533028,13.729785360507673,1.2804906560735185,0.2605650911360963,17.39914068755528,0.9468394915747913,0.3187571189658511,466121.10562721407,396684.78947838955,0.291332319878244,0.08204054096069983,0.0,0.0,-0.0
Guizhou,0.41,2021,12916974.732046723,11200450.861600563,11196237.93838121,11118321.139677316,11092443.004455432,14.125070037217535,13.288900118287783,0.9737066676993367,0.03900571060947943,16.448421027346672,0.9357265472005327,0.23329518313945918,470636.34496089676,404212.4402835476,0.2694774142195553,0.11780937126081376,0.0,0.0,0.0
