province,export,ai_share,W,case,total_cost,investment,new_coal,new_ocgt,new_batt_mw,emissions_t,curtail_rate,ai_mwh,export_mwh,import_mwh,deadline_extensions,dropped_share,note
Guizhou,True,0.2,6,NOAI,55737211.59441539,0.0,0.0,0.0,0.0,2029927.660566518,0.06588897060931023,0.0,1209600.0,0.0,17.0,0.33685200243676333,
Guizhou,True,0.2,6,S0,76527525.3121317,0.0,0.0,0.0,-0.0,2788695.0230798163,0.003475677003549259,754978.9926398945,1209600.0,0.0,17.0,0.33685200243676333,
Guizhou,True,0.2,6,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Guizhou,True,0.2,6,S1,73559978.64087379,0.0,0.0,0.0,-0.0,2680237.5253193034,0.0019475935065166974,650164.6535074952,1209600.0,0.0,17.0,0.33685200243676333,
Guizhou,True,0.2,6,S2,73349890.99792252,0.0,0.0,0.0,-0.0,2672539.6074244315,0.000629873467949535,643083.9830181443,1209600.0,0.0,17.0,0.33685200243676333,
Guizhou,True,0.2,24,NOAI,55737211.59441539,0.0,0.0,0.0,0.0,2029927.660566518,0.06588897060931023,0.0,1209600.0,0.0,0.0,0.3368520024367635,
Guizhou,True,0.2,24,S0,76527525.3121317,0.0,0.0,0.0,-0.0,2788695.0230798163,0.003475677003549259,754978.9926398946,1209600.0,0.0,0.0,0.3368520024367635,
Guizhou,True,0.2,24,S0b,,,,,,,,,,,,,S0b defined only for uniform arrivals
Guizhou,True,0.2,24,S1,72299461.16242516,0.0,0.0,0.0,-0.0,2634210.288314783,0.003881277414135033,604917.6247570791,1209600.0,0.0,0.0,0.3368520024367635,
Guizhou,True,0.2,24,S2,72032658.81907766,0.0,0.0,0.0,-0.0,2624398.369401213,0.0,596545.4853266024,1209600.0,0.0,0.0,0.3368520024367635,
Guizhou,False,0.05,6,NOAI,64459649.69038804,0.0,0.0,0.0,0.0,2230262.65179078,0.39670746312770766,0.0,0.0,0.0,17.0,0.33685200243676333,
