hydrology_year,Sanxia,Xiluodu,Xiangjiaba,Nuozhadu,Jinping2,Gezhouba,Xiaowan,Jinping1,Pubugou,Ertan,Guandi,Laxiwa,Jinanqiao,Goupitan,Jinghong,Ahai,Tianshengqiao2,Manwan,Wuqiangxi,Lijiaxia,Longkaikou,Longyangxia,Gongboxia,Ludila,Shatuo,Gongzui,Gongguoqiao,Silin,Wujiangdu,Luding,Ruilijiang1,Dongjing,Jishixia,Changzhou,Shuibuya,Tongjiezi,Guangzhao,Dongfeng,Sanbanxi,Lubuge,Shenxigou,Baihetan,Wudongde
2000,197854752515.0521,55087718560.908646,49561475600.77213,40466384391.96689,18396341938.326866,163791857226.68433,31134075951.364166,20964442116.96346,22226093001.906845,21683753459.06478,22655291908.88931,2153774052.516419,23217096949.946358,4833162969.722268,37174171440.82657,17792679862.368587,5274932529.330431,25228552508.785492,19411044724.54971,2315435116.6015186,20037908907.213196,2327831146.5324936,1536782763.2734468,17108383104.669762,7172016792.60739,20341757423.807423,14609606691.324333,8851167664.667997,3615254689.198268,15731130333.546104,4059604651.4515305,2796995061.066488,1335681372.7546163,32717876465.086414,4429975428.437745,20779134677.20589,1650142847.3094563,2854316475.6757298,4301512294.524911,1159456035.9290118,18319038228.783382,55087718560.908646,55087718560.908646
2001,192649588208.43842,63988714175.12261,57686116910.17245,45643657838.660355,20043843259.871056,159482819823.67606,29805829493.9744,22841932011.90696,24646466314.04529,24570244495.29561,25292409471.206203,3233116610.7968273,22754607636.119827,4092527457.5971045,42246475551.2457,17438246044.978645,8784711452.529463,24152248347.800823,25623592762.922295,3476257537.7832155,20028793719.096844,3494902104.3654237,1753085316.6020887,17226722400.37583,6108838351.04145,24065065922.003395,24290518724.57689,7539072208.692436,3613669353.7828074,17033690585.034431,6580513905.272111,4308727243.223242,1523174480.4778109,65327754233.7774,1580125616.3137279,24582499702.01201,2780903990.3310423,3101096352.8691173,3430042070.481013,2003051124.2102952,21672112719.85532,63988714175.12261,63988714175.12261
2002,167259025160.29205,48892296792.174736,44068503931.79178,28597683693.27928,11992362078.79644,138463524482.91476,20454937741.293976,13666476818.568062,12959963485.373837,15144825799.902302,15541295596.72718,2160381091.8254957,19897387456.89746,3934958065.3692822,26541492787.388058,15248583657.178673,5558236574.549888,16575037321.689392,64850912945.570564,2322881944.3428583,17408678546.127506,2335342299.7034793,1970460309.0673327,14944426983.511374,6290446752.6130085,13026551238.637644,8818752297.14781,7763199739.079581,2897396031.5919375,8284302827.078125,3609565167.5016036,2150913522.340803,1711231830.14396,67105592435.9401,4918600591.759042,13306640961.629892,1404343598.5590773,2175240736.6653357,4168910980.160333,1123518039.349987,11731232712.646614,48892296792.174736,48892296792.174736
2003,197672849212.56815,50477376375.060326,45724532051.77046,25578626886.340652,16182609941.51268,163641270600.0262,21659924349.285416,18441676641.8887,21939198055.982098,19185999623.611538,20209766101.942196,5831401643.43898,23668654850.106106,2748062538.8518987,23406086758.784386,18138736269.601036,2900744427.169685,17551461608.685562,33977940899.53332,6270521486.091262,19941730097.074467,6304192483.043513,6859595570.885571,16866907929.953465,4553180003.333861,21559747326.961567,15149716440.357166,5619194820.968923,1825849705.808904,15026092161.947609,4281525786.465227,1592981608.0034044,5956998694.735605,32472564859.15275,5190422538.864177,22023313127.76082,930149313.3878255,1372575968.0880554,3043771940.97417,596394297.5832459,19415915031.76814,50477376375.060326,50477376375.060326
2004,193643186665.26736,57031200861.1438,51393938563.75338,34704270897.00801,16337656748.406761,160305359259.86777,25743491037.693325,18618367737.294952,20675085105.57743,20327264290.979755,20892279557.65667,5233886971.393356,23716999599.711975,2729352761.693965,31890883825.78395,18175785804.890396,4388789553.256174,20860455804.709297,38538027601.07208,5628000362.061835,20457408670.135777,5658220164.198316,3683568648.65903,17431267311.463108,4543999976.606738,20394363531.40245,22787820012.05136,5607865517.360536,2238869355.056822,13927094423.679098,6013919965.258278,1934990157.7978616,3198911367.277184,29283548042.961018,4396765862.94203,20832871892.32386,1247580848.4215484,1940013663.3928916,2155104978.563443,1066785965.8641026,18366413152.513184,57031200861.1438,57031200861.1438
2005,180472632662.57388,48730531047.43575,44205457736.7029,22060521829.57822,16511883626.925205,149402262551.88553,16117544971.888126,18816916411.926258,25373720655.315758,19609783977.619762,20498415607.002552,7064510645.116646,21623750092.10921,1953854212.2400486,20424266731.964947,16571600818.234575,3986964817.8258305,13060362872.85972,15660953369.317806,7596759848.2685585,18184368877.291683,7637571812.552702,7296783816.592407,15375435125.254631,2976738268.6073327,25006311261.22509,3410605933.6996017,3673668128.668496,1558709222.1927707,18006754529.585007,1709145316.6846058,1810546559.570405,6336269140.810637,48861375699.055084,3020908582.7266855,25543983179.594406,1145266866.8080218,1199113261.714642,1536917576.9542732,839216929.0310571,22519763722.943386,48730531047.43575,48730531047.43575
2006,127583013836.987,36705665906.59524,33245237089.40146,21321471749.233807,10736719675.382765,105618179605.50677,14767635020.876757,12235548725.6776,14417518953.050259,12910236098.053846,13550599679.013855,5878439656.954855,15164189452.676296,2209401858.44157,19627224784.962284,11621244847.513079,4874680618.730366,11966504358.014984,22892994565.12759,6321184721.841902,12744936571.31148,6355133886.241759,5638833517.2623415,10765966346.794666,3292074810.387431,14949815439.121477,7830220716.172546,4062832945.59547,2139494299.931482,9858482206.089436,3499532652.1897078,3036975620.5144577,4896544373.833089,63483993326.46483,1365314719.1255643,15271258128.62697,1860639904.0752292,1898423012.0349083,1858646475.3259275,1101899974.9761727,13463253632.111647,36705665906.59524,36705665906.59524
2007,218833670748.20914,58676336850.597275,53200551961.17339,33306086651.37981,15723409125.446447,181159021453.65494,27315782258.23023,17918372119.676796,19673612856.423466,19127938584.174706,19969560642.594105,10911466054.174044,25596875243.523453,3745999364.617902,30444183951.298225,19616449363.452957,6845108489.449848,22134514224.762703,22215185939.609398,11733734666.901731,21683819690.024952,11796784528.611635,10947117827.856693,18389295302.806957,5492921560.601088,20849316049.283375,14840436653.186745,6778953690.106272,3420866799.277897,13169318666.710041,5478863202.334235,4200434737.3231597,9505534281.81649,19914346583.487183,5748890980.933926,21297606548.421837,2660731470.605101,3090368792.5078034,2523934166.5782843,1534368481.902881,18776126876.702583,58676336850.597275,58676336850.597275
2008,221569130419.50708,59212194927.113106,53716618226.213684,32377357390.01888,16256915067.376074,183423541331.1671,24639924913.69068,18526354645.55808,19909995275.026867,20134895084.291267,21029821824.633053,9160931092.26671,23413179397.498276,5693295214.198066,29797290154.26924,17942949821.762844,7581692755.394641,19966214525.481686,35370326230.05328,9851082010.018463,19875859611.165768,9904001484.369276,8659311344.55179,16912800479.105787,8229645635.657541,21092803893.24231,21236615695.440495,10156414220.486841,5078869589.169812,13093284710.617306,5313013905.325108,4527208225.744469,7519197702.286403,49973989037.108986,5903770625.608343,21546329733.762928,2824858775.49947,4288521469.588312,3691560374.4823136,1613141741.9289448,18995403062.675266,59212194927.113106,59212194927.113106
2009,263543542289.64706,89229044323.61166,80438240100.02444,47530004890.13256,26700211086.400097,218171591548.88925,43414271099.786125,30427518237.489895,27463938414.3867,30996407576.816433,32595554637.914406,16008132303.199762,45171900035.10939,3607449555.452057,43383673782.690956,34617986815.1636,4498782615.681472,35179435541.38507,30677542159.352367,17214561843.613243,37820120761.67962,17307068566.000793,13028649563.75004,31956865484.732746,5599503921.945879,27655159409.817505,14194662400.740982,6910489683.068721,2771912826.6078167,19320649306.702892,3461571785.3966665,2453288772.6671944,11312957165.66217,44356017686.80994,3298410655.5162144,28249785400.726543,1423860948.2421083,2227689483.336564,3983292632.736423,1200857519.989258,24905219007.781887,89229044323.61166,89229044323.61166
2010,302892462072.27655,105433707033.15935,95053563988.91478,63292027611.20487,31470103836.74174,250746157330.7771,60502036386.47123,35863280456.08213,27867349881.200516,36251029591.97228,38053520056.63829,14245734051.990437,54184978972.34839,4306710079.016205,57636368106.19872,41525259867.01349,4639532732.92967,49025986968.39308,50897454771.02286,15319312790.976358,45495248728.099785,15401632594.967432,11174799803.685553,38429415490.80631,6493609205.64509,27464946227.00722,21452908229.47753,8013927670.559848,3130614001.3171883,19672397984.540833,5817025000.047264,3482549636.4842234,9703461196.232454,61097692472.079056,4131217680.97273,28055482358.926968,2094609047.1031451,2411183710.059268,4676373846.804828,1361860784.0050569,24733920085.787563,105433707033.15935,105433707033.15935
2011,355628965245.31696,78898478658.99612,71500171365.64647,33509579606.610622,19726582150.86499,294403485186.4529,23818749240.187813,22480381754.903732,28618019912.418213,26758148419.81045,27332252077.387573,13515496932.528618,31690615360.693344,9812923948.668848,31019882599.021645,24286454717.82724,8480542536.081288,19300799768.02213,39610537111.14625,14533817292.456955,26711027035.356304,14611900383.646997,14854076661.184917,22598551356.559074,13730645348.366217,29577606621.447083,15188885475.882397,16945337362.81172,8468025176.423615,18505856447.14138,3671041180.8991117,7079017587.987577,12898580257.893475,64867348510.76631,5926816388.326606,30213568012.42544,4472388422.387084,5981788829.284037,5315564945.994059,2113601806.9038246,26636504179.26074,78898478658.99612,78898478658.99612
2012,421922641016.14233,99808256406.48665,90937462910.66974,38096342065.69555,25353390264.876877,349283967655.83936,29751493139.16603,28892683363.828445,36683121568.14468,34367407133.76161,34748400079.08586,28334061037.40786,35882401241.32054,12431675242.073126,35160107037.32258,27498876339.117355,13835928345.97523,24108218533.56897,53435734563.32934,30469239759.75979,30391164455.217358,30632961054.34243,40023446138.45428,25712630654.05959,16956793926.742987,38484888248.68873,16833293738.415245,20926809074.893677,11080784918.66356,24441320596.577377,3418376817.7981195,7979553592.537179,34753173119.80967,113808431170.56248,7127255397.731759,39312369098.4927,5092249604.911495,7701542051.084597,7085625973.501731,2886008083.5330815,34658073750.94337,99808256406.48665,99808256406.48665
2013,421271325856.42706,89998169929.55444,82992330636.95573,36630052876.29909,23753765212.75029,348744783641.8413,30206897504.061543,27069753189.63521,31160998229.15513,31691828100.679626,32768319548.39013,22014850126.315865,34749248790.06162,9635625786.79581,33638469810.9706,26630472384.73947,11932069313.975632,24477241624.23157,40059984006.33573,23673602571.836063,29476777254.23234,23800792289.018723,21494005426.115902,24899568099.387783,13974888390.80033,36190806237.04269,14556728700.6374,17246763890.66666,7736729630.428478,19491434695.77529,3559901665.7043567,6485900178.143805,18663904060.564476,127264793030.60587,6782840187.783646,36968961000.19546,4017220092.0767326,4727409898.38241,6773500171.757512,2865062703.2877235,32592108467.369545,89998169929.55444,89998169929.55444
2014,464199483173.5377,117387444134.98663,106574200669.77678,47317982678.863495,28608887724.997803,384282381424.60834,34680178498.2732,32602643109.81662,34925521234.495514,38283115251.45988,39015264227.86232,21846552250.15973,39065713972.47671,17471660330.457928,43831796187.925514,29938443372.384827,22550870604.018112,28102028967.376606,57950735690.35638,23492675787.58975,33377547638.617046,23618897531.90339,31220274030.881767,28307125264.613724,24166964662.249832,37634308630.03591,24853478718.43105,29825063487.325474,15775516011.639502,22361220973.097645,4114361305.4678187,13846678018.928087,27109170060.78114,111644327848.93149,6352491410.064342,38443500785.81743,8390064005.625832,11181639810.41168,9026132838.520327,4318496870.2495775,33892073506.176678,117387444134.98663,117387444134.98663
2015,431705491911.58386,104792278342.56958,95163209991.16592,42484641984.47413,28471630580.42256,357382592009.1473,33607309847.859512,32446225085.39447,35794800226.67492,39293793280.38353,39521798215.258415,14944119918.755264,34002797607.498024,15596876121.527124,39163453830.88881,26058421238.428036,16489217521.6098,27232662453.198574,48510368715.78204,16070171622.461962,29070990676.488647,16156515138.070107,15074236337.703623,24691880948.801796,21765109741.827232,38533005758.95215,33035291720.317318,26860873466.356567,14631421578.679796,23113875077.901817,5024504564.838295,12359922985.824528,13089337559.670734,113357443971.15192,5920547178.15165,39361521204.93387,7611608696.799723,10637551538.324001,9280637202.522243,4246697936.536757,34701407066.55285,104792278342.56958,104792278342.56958
