province,export,ai_share,W,case,total_cost,investment,new_coal,new_ocgt,new_batt_mw,emissions_t,curtail_rate,ai_mwh,export_mwh,import_mwh
Guizhou,False,0.05,6,S0,68764542.67229687,0.0,0.0,0.0,-0.0,2387530.8447937034,0.3749276032162548,203470.75843289812,0.0,0.0
Guizhou,False,0.05,6,S0b,67376237.11907671,0.0,0.0,0.0,-0.0,2336831.811310041,0.3856078692754845,137913.02996610623,0.0,0.0
Guizhou,False,0.05,6,S1,67465129.65273726,0.0,0.0,0.0,-0.0,2340079.26182015,0.38798545137053686,142115.61297918885,0.0,0.0
Guizhou,False,0.05,6,S2,67317601.09605914,0.0,0.0,0.0,0.0,2334690.345517331,0.3929513840294235,137400.77069762567,0.0,0.0
Guizhou,False,0.05,24,NOAI,64459649.69038804,0.0,0.0,0.0,0.0,2230262.65179078,0.39670746312770766,0.0,0.0,0.0
Guizhou,False,0.05,24,S0,68764542.67229687,0.0,0.0,0.0,-0.0,2387530.8447937034,0.3749276032162548,203470.75843289812,0.0,0.0
Guizhou,False,0.05,24,S0b,67376237.11907671,0.0,0.0,0.0,-0.0,2336831.8113100417,0.3856078692754845,137913.02996610623,0.0,0.0
Guizhou,False,0.05,24,S1,67465129.98176028,0.0,0.0,0.0,-0.0,2340079.2618201496,0.3878745204499737,142115.61297918885,0.0,0.0
Guizhou,False,0.05,24,S2,67317601.09605916,0.0,0.0,0.0,-0.0,2334690.3455173303,0.3929513840294235,138291.033402434,0.0,0.0
Guizhou,False,0.05,72,NOAI,64459649.69038804,0.0,0.0,0.0,0.0,2230262.65179078,0.39670746312770766,0.0,0.0,0.0
Guizhou,False,0.05,72,S0,68764542.67229687,0.0,0.0,0.0,-0.0,2387530.8447937034,0.3749276032162548,203470.75843289812,0.0,0.0
Guizhou,False,0.05,72,S0b,67376237.11907671,0.0,0.0,0.0,-0.0,2336831.811310041,0.3856078692754845,137913.02996610623,0.0,0.0
Guizhou,False,0.05,72,S1,67465129.26090765,0.0,0.0,0.0,-0.0,2340079.26182015,0.388117557676721,142115.61297918885,0.0,0.0
Guizhou,False,0.05,72,S2,67317601.09605914,0.0,0.0,0.0,-0.0,2334690.3455173303,0.3929513840294235,138235.3604458854,0.0,0.0
Guizhou,False,0.2,6,NOAI,64459649.69038804,0.0,0.0,0.0,0.0,2230262.65179078,0.39670746312770766,0.0,0.0,0.0
Guizhou,False,0.2,6,S0,82385723.81107958,0.0,0.0,0.0,-0.0,2884022.0827887547,0.18006343170151182,813883.0337315925,0.0,0.0
Guizhou,False,0.2,6,S0b,76356536.77501409,0.0,0.0,0.0,-0.0,2664433.152829389,0.27118573998969125,551652.1198644249,0.0,0.0
Guizhou,False,0.2,6,S1,76602672.09469521,0.0,0.0,0.0,-0.0,2673603.271356695,0.28395336438076585,568462.4519167554,0.0,0.0
Guizhou,False,0.2,6,S2,75966240.11515623,0.0,0.0,0.0,-0.0,2650594.260662344,0.2786511869350279,567567.5679447475,0.0,0.0
Guizhou,False,0.2,24,NOAI,64459649.69038804,0.0,0.0,0.0,0.0,2230262.65179078,0.39670746312770766,0.0,0.0,0.0
Guizhou,False,0.2,24,S0,82385723.81107958,0.0,0.0,0.0,-0.0,2884022.082788755,0.18006343170151182,813883.0337315925,0.0,0.0
Guizhou,False,0.2,24,S0b,76356536.77501409,0.0,0.0,0.0,-0.0,2664433.152829389,0.27118573998969125,551652.1198644249,0.0,0.0
Guizhou,False,0.2,24,S1,76605128.97852893,0.0,0.0,0.0,-0.0,2673698.0886669615,0.2842636409354076,568462.4519167554,0.0,0.0
Guizhou,False,0.2,24,S2,75966238.05573653,0.0,0.0,0.0,-0.0,2650594.260662342,0.2793455253201689,567105.4273589043,0.0,0.0
Guizhou,False,0.2,72,NOAI,64459649.69038804,0.0,0.0,0.0,0.0,2230262.65179078,0.39670746312770766,0.0,0.0,0.0
Guizhou,False,0.2,72,S0,82385723.81107958,0.0,0.0,0.0,-0.0,2884022.0827887547,0.18006343170151182,813883.0337315925,0.0,0.0
Guizhou,False,0.2,72,S0b,76356536.77501409,0.0,0.0,0.0,-0.0,2664433.152829389,0.27118573998969125,551652.1198644249,0.0,0.0
Guizhou,False,0.2,72,S1,76599962.19893509,0.0,0.0,0.0,-0.0,2673499.7927540382,0.28361474494280686,568462.4519167554,0.0,0.0
Guizhou,False,0.2,72,S2,75966238.05573651,0.0,0.0,0.0,-0.0,2650594.260662342,0.2793455253201689,567105.4273589044,0.0,0.0
