workload,tariff_assumption,deadline_window_h_assumption,utilization_assumption,idle_power_ratio_assumption,max_response_fraction,commitment_MW,minimum_cost_CNY_scenario,outside_option_cost_CNY_scenario,opportunity_cost_CNY_scenario,marginal_cost_CNY_per_MW_event_scenario,is_measured_tariff,is_market_equilibrium,maximum_work_error
ft_llama_8b_p3,flat,1,0.9,0.2,0.75,0.001418104782691071,49.30652080034467,49.30652080034467,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,flat,1,0.9,0.2,1.0,0.001890806376921428,49.30652080034467,49.30652080034467,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,flat,4,0.9,0.2,0.0,0.0,49.30652080034468,49.30652080034467,7.105427357601002e-15,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,flat,4,0.9,0.2,0.25,0.001033702975541134,49.30652080034468,49.30652080034467,7.105427357601002e-15,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,flat,4,0.9,0.2,0.5,0.002067405951082268,49.30652080034467,49.30652080034467,0.0,6.455993598726778e-12,False,False,9.992007221626409e-16
ft_llama_8b_p3,flat,4,0.9,0.2,0.75,0.003101108926623402,49.95056300914843,49.30652080034467,0.6440422088037607,1426.7730272206381,False,False,5.551115123125783e-16
ft_llama_8b_p3,flat,4,0.9,0.2,1.0,0.004134811902164536,52.86504146427124,49.30652080034467,3.558520663926572,6601.080879345858,False,False,1.0724754417879012e-13
ft_llama_8b_p3,flat,8,0.9,0.2,0.0,0.0,49.30652080034468,49.30652080034467,7.105427357601002e-15,-0.0,False,False,1.1102230246251565e-15
ft_llama_8b_p3,flat,8,0.9,0.2,0.25,0.0010337029755411338,49.30652080034481,49.30652080034467,1.4210854715202004e-13,-0.0,False,False,4.596323321948148e-14
ft_llama_8b_p3,flat,8,0.9,0.2,0.5,0.0020674059510822677,49.30652080034476,49.30652080034467,8.526512829121202e-14,4.310707662311117e-11,False,False,3.652633751016765e-14
ft_llama_8b_p3,flat,8,0.9,0.2,0.75,0.0031011089266234013,49.95056300914844,49.30652080034467,0.6440422088037678,1426.773027220641,False,False,1.887379141862766e-15
ft_llama_8b_p3,flat,8,0.9,0.2,1.0,0.004134811902164535,52.865041464271684,49.30652080034467,3.5585206639270126,6601.080879345858,False,False,1.787459069646502e-14
ft_llama_8b_p3,event_cheap,1,0.9,0.2,0.0,0.0,55.88072357372396,55.88072357372396,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,event_cheap,1,0.9,0.2,0.25,0.000472701594230357,55.88072357372396,55.88072357372396,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,event_cheap,1,0.9,0.2,0.5,0.000945403188460714,55.88072357372396,55.88072357372396,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,event_cheap,1,0.9,0.2,0.75,0.001418104782691071,55.88072357372396,55.88072357372396,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,event_cheap,1,0.9,0.2,1.0,0.001890806376921428,55.88072357372396,55.88072357372396,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,event_cheap,4,0.9,0.2,0.0,0.0,54.433512747897865,54.02146607364371,0.41204667425415664,468.76477235294306,False,False,1.1102230246251565e-16
ft_llama_8b_p3,event_cheap,4,0.9,0.2,0.25,0.001033702975541134,54.92802919780384,54.02146607364371,0.9065631241601295,628.0715271532154,False,False,3.4416913763379853e-15
ft_llama_8b_p3,event_cheap,4,0.9,0.2,0.5,0.002067405951082268,56.304562551709985,54.02146607364371,2.283096478066277,2400.000000000008,False,False,7.771561172376096e-16
ft_llama_8b_p3,event_cheap,4,0.9,0.2,0.75,0.003101108926623402,59.94472566885546,54.02146607364371,5.9232595952117535,4968.191448997162,False,False,4.440892098500626e-16
ft_llama_8b_p3,event_cheap,4,0.9,0.2,1.0,0.004134811902164536,67.67167402937613,54.02146607364371,13.650207955732427,14281.94558282254,False,False,3.552713678800501e-15
ft_llama_8b_p3,event_cheap,8,0.9,0.2,0.0,0.0,54.433512747897865,54.02146607364372,0.41204667425414243,468.7647723529333,False,False,3.3306690738754696e-16
ft_llama_8b_p3,event_cheap,8,0.9,0.2,0.25,0.0010337029755411338,54.928029197803845,54.02146607364372,0.9065631241601224,628.0715271532117,False,False,2.220446049250313e-16
ft_llama_8b_p3,event_cheap,8,0.9,0.2,0.5,0.0020674059510822677,56.304562551709964,54.02146607364372,2.2830964780662413,2400.000000000142,False,False,1.9984014443252818e-15
ft_llama_8b_p3,event_cheap,8,0.9,0.2,0.75,0.0031011089266234013,59.94472566885545,54.02146607364372,5.923259595211725,4968.191448997138,False,False,5.551115123125783e-16
ft_llama_8b_p3,event_cheap,8,0.9,0.2,1.0,0.004134811902164535,67.67167402937613,54.02146607364372,13.650207955732412,14281.945582822551,False,False,1.1102230246251565e-16
ft_llama_8b_p3,event_expensive,1,0.9,0.2,0.0,0.0,61.633151000430836,61.633151000430836,0.0,-0.0,False,False,1.1102230246251565e-16
