province,export,ai_share,slack_mult,slack_base_h,case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh,s3_compensation_floor_expweek,s3_mean_commitment_mw,peak_2030
Gansu,False,0.2,3.0,24.0,S1,500886707.128875,22974306.264392972,0.0,0.0,0.0,-0.0,17390180.363773655,0.001867395183146766,530228.4881637238,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,3.0,24.0,S2,500852026.1955948,22974306.264392972,0.0,0.0,0.0,-0.0,17388868.374964956,0.00011213308010454622,529862.5786547192,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,3.0,24.0,S1rt,500867516.73951435,22974306.264392972,0.0,0.0,0.0,-0.0,17389455.108092017,0.0009244379318007593,530012.0836509767,0.0,0.0,0.0,0.0,24971.915675619126
Gansu,False,0.2,3.0,24.0,S3,500886707.128875,22974306.264392972,0.0,0.0,0.0,-0.0,17390180.363773655,0.001867395183146766,530228.4881637238,0.0,0.0,0.0,0.0,24971.915675619126
Jiangsu,True,0.05,1.0,6.0,NOAI,744281836.7191048,0.0,0.0,0.0,0.0,-0.0,26505315.7534744,0.0,0.0,586578.5179887579,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.05,1.0,6.0,S0,768329140.1368301,0.0,0.0,0.0,0.0,-0.0,27383992.036019884,0.0,849718.6797954321,690384.6071627012,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.05,1.0,6.0,S1,764931485.1414497,0.0,0.0,0.0,0.0,-0.0,27259843.44962641,0.0,730121.8562148719,660373.4804498674,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.05,1.0,6.0,S2,764764468.8565595,0.0,0.0,0.0,0.0,-0.0,27253740.76015401,0.0,724298.5608802376,657043.3714197289,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.05,1.0,6.0,S1rt,764765240.830664,0.0,0.0,0.0,0.0,-0.0,27253768.96736438,0.0,724298.5608802376,657955.957638129,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.05,1.0,6.0,S3,764931485.1414497,0.0,0.0,0.0,0.0,-0.0,27259843.44962641,0.0,730121.8562148719,660373.4804498674,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.05,3.0,24.0,NOAI,744281836.7191048,0.0,0.0,0.0,0.0,-0.0,26505315.7534744,0.0,0.0,586578.5179887579,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.05,3.0,24.0,S0,768329140.1368301,0.0,0.0,0.0,0.0,-0.0,27383992.036019884,0.0,849718.679795432,690384.6071627011,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.05,3.0,24.0,S1,763774903.29381,0.0,0.0,0.0,0.0,-0.0,27217582.536260717,0.0,689362.703769564,651747.0511094314,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.05,3.0,24.0,S2,763733045.9638995,0.0,0.0,0.0,0.0,-0.0,27216053.09159363,0.0,687962.4385597857,648940.5247549373,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.05,3.0,24.0,S1rt,763733307.7699745,0.0,0.0,0.0,0.0,-0.0,27216062.65774227,0.0,687962.4385597857,649250.0177993439,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.05,3.0,24.0,S3,763774903.29381,0.0,0.0,0.0,0.0,-0.0,27217582.536260717,0.0,689362.703769564,651747.0511094314,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.1,1.0,6.0,NOAI,744281836.7191048,0.0,0.0,0.0,0.0,-0.0,26505315.7534744,0.0,0.0,586578.5179887579,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.1,1.0,6.0,S0,792441251.0440578,0.0,0.0,0.0,0.0,-0.0,28265036.3235036,0.0,1699437.3595908643,870802.6208086621,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.1,1.0,6.0,S1,785626714.0487329,0.0,0.0,0.0,0.0,-0.0,28016036.613986626,0.0,1460243.7124297437,788051.2378840015,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.1,1.0,6.0,S2,785294566.5315908,0.0,0.0,0.0,0.0,-0.0,28003900.11309895,0.0,1448597.1217604752,783619.4275527322,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.1,1.0,6.0,S1rt,785296198.2905406,0.0,0.0,0.0,0.0,-0.0,28003959.73604189,0.0,1448597.1217604752,785548.4051192561,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.1,1.0,6.0,S3,785626714.0487329,0.0,0.0,0.0,0.0,-0.0,28016036.613986626,0.0,1460243.7124297437,788051.2378840015,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.1,3.0,24.0,NOAI,744281836.7191048,0.0,0.0,0.0,0.0,-0.0,26505315.7534744,0.0,0.0,586578.5179887579,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.1,3.0,24.0,S0,792441251.0440578,0.0,0.0,0.0,0.0,-0.0,28265036.3235036,0.0,1699437.359590864,870802.6208086621,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.1,3.0,24.0,S1,783307484.6728549,0.0,0.0,0.0,0.0,-0.0,27931293.15297007,0.0,1378725.407539128,763627.8582129785,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.1,3.0,24.0,S2,783220769.0053,0.0,0.0,0.0,0.0,-0.0,27928124.609625377,0.0,1375924.8771195714,754467.1757521655,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.1,3.0,24.0,S1rt,783222958.8734355,0.0,0.0,0.0,0.0,-0.0,27928204.62535505,0.0,1375924.8771195714,757055.919946636,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.1,3.0,24.0,S3,783307484.6728549,0.0,0.0,0.0,0.0,-0.0,27931293.15297007,0.0,1378725.407539128,763627.8582129785,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.2,1.0,6.0,NOAI,744281836.7191048,0.0,0.0,0.0,0.0,-0.0,26505315.7534744,0.0,0.0,586578.5179887579,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.2,1.0,6.0,S0,840875536.8108956,0.0,0.0,0.0,0.0,-0.0,30034800.43844962,0.0,3398874.7191817285,1479964.9415251487,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.2,1.0,6.0,S1,827163630.8097807,0.0,0.0,0.0,0.0,-0.0,29533774.415371418,0.0,2920487.4248594875,1216542.6330688873,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.2,1.0,6.0,S2,826496666.3427722,0.0,0.0,0.0,0.0,-0.0,29509403.875025645,0.0,2897194.2435209504,1204523.3527744554,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.2,1.0,6.0,S1rt,826502166.6878003,0.0,0.0,0.0,0.0,-0.0,29509604.852478884,0.0,2897194.24352095,1211025.5644967877,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.2,1.0,6.0,S3,827163630.8097807,0.0,0.0,0.0,0.0,-0.0,29533774.415371418,0.0,2920487.4248594875,1216542.6330688873,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.2,3.0,24.0,NOAI,744281836.7191048,0.0,0.0,0.0,0.0,-0.0,26505315.7534744,0.0,0.0,586578.5179887579,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.2,3.0,24.0,S0,840875536.8108956,0.0,0.0,0.0,0.0,-0.0,30034800.43844962,0.0,3398874.719181728,1479964.9415251482,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.2,3.0,24.0,S1,822503927.5739721,0.0,0.0,0.0,0.0,-0.0,29363511.239798322,0.0,2757450.815078256,1142581.7886067468,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.2,3.0,24.0,S2,822325189.9549899,0.0,0.0,0.0,0.0,-0.0,29356980.266468536,0.0,2751849.754239143,1117987.6206135093,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.2,3.0,24.0,S1rt,822331958.4855744,0.0,0.0,0.0,0.0,0.0,29357227.582233585,0.0,2751849.754239143,1125989.0130123373,0.0,0.0,0.0,129875.60860937074
Jiangsu,True,0.2,3.0,24.0,S3,822503927.5739721,0.0,0.0,0.0,0.0,-0.0,29363511.239798322,0.0,2757450.815078256,1142581.7886067468,0.0,0.0,0.0,129875.60860937074
Jiangsu,False,0.05,1.0,6.0,NOAI,761621538.0302396,0.0,0.0,0.0,0.0,0.0,26953995.434587687,0.0,0.0,0.0,0.0,0.0,0.0,129875.60860937074
Jiangsu,False,0.05,1.0,6.0,S0,789091456.2306598,0.0,0.0,0.0,0.0,-0.0,27754271.939358145,0.0,849718.6797954321,0.0,0.0,0.0,0.0,129875.60860937074
Jiangsu,False,0.05,1.0,6.0,S1,784735070.6818954,0.0,0.0,0.0,0.0,-0.0,27652130.176833652,0.0,730121.8562148719,0.0,0.0,0.0,0.0,129875.60860937074
Jiangsu,False,0.05,1.0,6.0,S2,784513633.758923,0.0,0.0,0.0,0.0,-0.0,27647966.30800716,0.0,724671.7524988519,0.0,0.0,0.0,0.0,129875.60860937074
Jiangsu,False,0.05,1.0,6.0,S1rt,784538015.4093556,0.0,0.0,0.0,0.0,-0.0,27647493.960113637,0.0,724702.2814669855,0.0,0.0,0.0,0.0,129875.60860937074
Jiangsu,False,0.05,1.0,6.0,S3,784729524.3992913,0.0,0.0,0.0,0.0,-0.0,27652248.97487939,0.0,730121.8562148719,0.0,0.0,0.0,0.0,129875.60860937074
Jiangsu,False,0.05,3.0,24.0,NOAI,761621538.0302396,0.0,0.0,0.0,0.0,0.0,26953995.434587687,0.0,0.0,0.0,0.0,0.0,3.776501796959023e-12,129875.60860937074
Jiangsu,False,0.05,3.0,24.0,S0,789091456.2306598,0.0,0.0,0.0,0.0,-0.0,27754271.939358145,0.0,849718.679795432,0.0,0.0,0.0,3.776501796959023e-12,129875.60860937074
Jiangsu,False,0.05,3.0,24.0,S1,783299694.1048254,0.0,0.0,0.0,0.0,-0.0,27616263.817348853,0.0,689362.7037695639,0.0,0.0,0.0,3.776501796959023e-12,129875.60860937074
Jiangsu,False,0.05,3.0,24.0,S2,783194607.9960682,0.0,0.0,0.0,0.0,-0.0,27616226.29404097,0.0,687962.4385597857,0.0,0.0,0.0,3.776501796959023e-12,129875.60860937074
Jiangsu,False,0.05,3.0,24.0,S1rt,783202211.4967451,0.0,0.0,0.0,0.0,-0.0,27616063.431618378,0.0,687962.4385597857,0.0,0.0,0.0,3.776501796959023e-12,129875.60860937074
Jiangsu,False,0.05,3.0,24.0,S3,783302938.5793092,0.0,0.0,0.0,0.0,-0.0,27616194.322652027,0.0,689362.7037695639,0.0,0.0,0.0,3.776501796959023e-12,129875.60860937074
Jiangsu,False,0.1,1.0,6.0,NOAI,761621538.0302396,0.0,0.0,0.0,0.0,0.0,26953995.434587687,0.0,0.0,0.0,0.0,0.0,0.0,129875.60860937074
Jiangsu,False,0.1,1.0,6.0,S0,818967336.3459398,101378.00363383937,0.0,0.0,0.0,165.9824769517163,28505330.773087353,0.0,1699437.3595908643,0.0,0.0,0.0,0.0,129875.60860937074
Jiangsu,False,0.1,1.0,6.0,S1,809240896.391557,0.0,0.0,0.0,0.0,-0.0,28320442.837120533,0.0,1460243.7124297437,0.0,0.0,0.0,0.0,129875.60860937074
