GEM unit/phase ID,Plant / Project name,province,technology,capacity_mw,Status,start,retired,included_2030,selection_reason
G100000604460,Jiannan hydroelectric plant,Hubei,pumped storage,1600.0,announced,,,False,unknown_start_year_not_imputed
G100000600872,Jianquan hydroelectric plant,Chongqing,pumped storage,1200.0,construction,2029.0,,True,operating_or_construction_start_by_2030
G100001031262,Jiantan hydroelectric plant,Guangdong,run-of-river,46.0,operating,2007.0,,True,operating_or_construction_start_by_2030
G100000600873,Jiantang hydroelectric plant,Heilongjiang,pumped storage,1800.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000604461,Jiaohe hydroelectric plant,Jilin,pumped storage,1200.0,construction,2029.0,,True,operating_or_construction_start_by_2030
G100001027178,Jiaojiping hydroelectric plant,Sichuan,run-of-river,72.0,operating,2012.0,,True,operating_or_construction_start_by_2030
G100000604193,Jiapeng Pumped Storage hydroelectric plant,Anhui,pumped storage,1400.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000604462,Jiasa River hydroelectric plant,Yunnan,conventional storage,270.0,shelved,,,False,unknown_start_year_not_imputed
G100000600875,Jiaxian hydroelectric plant,Henan,pumped storage,600.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000604463,Jiayan hydroelectric plant,Yunnan,conventional storage,240.0,operating,2015.0,,True,operating_or_construction_start_by_2030
G100000604464,Jiayan Yanjiawan hydroelectric plant,Guizhou,pumped storage,1400.0,announced,,,False,unknown_start_year_not_imputed
G100000600878,Jiemian hydroelectric plant,Fujian,conventional storage,300.0,operating,2009.0,,True,operating_or_construction_start_by_2030
G100000600879,Jiexu hydroelectric plant,Tibet,conventional storage,510.0,construction,,,False,unknown_start_year_not_imputed
G100000600880,Jilebulake hydroelectric plant,Xinjiang,run-of-river,160.0,operating,2014.0,,True,operating_or_construction_start_by_2030
G100001027948,Jilin Dunhua City Yanminghu Pumped Storage hydroelectric plant,Jilin,pumped storage,1200.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600881,Jilintai I hydroelectric plant,Xinjiang,conventional storage,460.0,operating,2006.0,,True,operating_or_construction_start_by_2030
G100001051144,Jilintai Stage 2 hydroelectric plant,Xinjiang,run-of-river,50.0,operating,2009.0,,True,operating_or_construction_start_by_2030
G100000600882,Jin'anqiao hydroelectric plant,Yunnan,conventional storage,2400.0,operating,2012.0,,True,operating_or_construction_start_by_2030
G100000600883,Jinchuan hydroelectric plant,Sichuan,conventional storage,860.0,construction,2025.0,,True,operating_or_construction_start_by_2030
G100000604466,Jinchuanxia hydroelectric plant,Gansu,pumped storage,1200.0,construction,,,False,unknown_start_year_not_imputed
G100000604467,Jinding hydroelectric plant,Sichuan,run-of-river,220.0,announced,,,False,unknown_start_year_not_imputed
G100000600885,Jinggangshan hydroelectric plant,Jiangxi,conventional storage,133.0,operating,2020.0,,True,operating_or_construction_start_by_2030
G100000600886,Jinghong hydroelectric plant,Yunnan,conventional storage,1750.0,operating,2009.0,,True,operating_or_construction_start_by_2030
G100000604174,Jingmen Pumped Storage hydroelectric plant,Hubei,pumped storage,200.0,pre-construction,,,False,unknown_start_year_not_imputed
G100001031349,Jingnan hydroelectric plant,Guangxi,conventional storage,69.0,operating,1997.0,,True,operating_or_construction_start_by_2030
G100000600887,Jingning hydroelectric plant,Zhejiang,pumped storage,1400.0,construction,,,False,unknown_start_year_not_imputed
G100001048081,Jingpohu hydroelectric plant,Heilongjiang,run-of-river,96.0,operating,1942.0,,True,operating_or_construction_start_by_2030
G100000604178,Jingshantun Pumped Storage hydroelectric plant,Jilin,pumped storage,1800.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000604468,Jingyang County hydroelectric plant,Shaanxi,pumped storage,1200.0,announced,,,False,unknown_start_year_not_imputed
G100001027179,Jinhanlazha hydroelectric plant,Yunnan,run-of-river,58.0,operating,2010.0,,True,operating_or_construction_start_by_2030
G100000600889,Jiniu hydroelectric plant,Sichuan,conventional storage,240.0,operating,2014.0,,True,operating_or_construction_start_by_2030
G100001031350,Jinjitan hydroelectric plant,Guangxi,conventional storage,72.0,operating,2006.0,,True,operating_or_construction_start_by_2030
G100000600890,Jinkang hydroelectric plant,Sichuan,conventional storage,150.0,operating,2006.0,,True,operating_or_construction_start_by_2030
G100000600891,Jinlongtan hydroelectric plant,Sichuan,run-of-river,180.0,operating,2006.0,,True,operating_or_construction_start_by_2030
G100001031319,Jinniuping hydroelectric plant,Guangxi,conventional storage,60.0,operating,2007.0,,True,operating_or_construction_start_by_2030
G100000600892,Jinping hydroelectric plant,Sichuan,conventional storage,81.0,operating,2015.0,,True,operating_or_construction_start_by_2030
G100000600893,Jinping Stage 1 hydroelectric plant,Sichuan,conventional storage,3600.0,operating,2014.0,,True,operating_or_construction_start_by_2030
G100000600894,Jinping Stage 2 hydroelectric plant,Sichuan,conventional and run-of-river,4800.0,operating,2014.0,,True,operating_or_construction_start_by_2030
G100001051143,Jinqiao hydroelectric plant,Tibet,run-of-river,66.0,operating,2019.0,,True,operating_or_construction_start_by_2030
G100000600895,Jinsha hydroelectric plant,Sichuan,conventional storage,560.0,operating,2021.0,,True,operating_or_construction_start_by_2030
G100000604469,Jinshajiang Changbo hydroelectric plant,Sichuan,conventional storage,826.0,construction,,,False,unknown_start_year_not_imputed
G100001048118,Jinshaxia hydroelectric plant,Qinghai,run-of-river,70.0,operating,2007.0,,True,operating_or_construction_start_by_2030
G100000600897,Jinshuihe hydroelectric plant,Shaanxi,pumped storage,1400.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000604470,Jinshuitan hydroelectric plant,Zhejiang,pumped storage,297.0,construction,2027.0,,True,operating_or_construction_start_by_2030
G100000600898,Jinshuitan hydroelectric plant,Zhejiang,conventional storage,300.0,operating,1988.0,,True,operating_or_construction_start_by_2030
G100001048095,Jinweizhou hydroelectric plant,Hunan,conventional and run-of-river,63.0,operating,2002.0,,True,operating_or_construction_start_by_2030
G100000600900,Jinwuo hydroelectric plant,Sichuan,run-of-river,240.0,operating,2009.0,,True,operating_or_construction_start_by_2030
