province,technology_group,grid_lat,grid_lon,capacity_mw,unit_count,near_boundary_review_mw,assumed_pv_mw,known_pre2020_survivor_mw,unit_ids
Gansu,wind_onshore,37.0,106.5,50.0,1,50.0,0.0,50.0,G100000904496
Gansu,wind_onshore,37.0,106.75,530.0,4,530.0,0.0,150.0,G100000904495;G100000904497;G100000905828;G100000921546
Gansu,wind_onshore,37.25,103.5,100.0,1,0.0,0.0,100.0,G100000905826
Gansu,wind_onshore,37.25,103.75,50.0,1,0.0,0.0,50.0,G100000905821
Gansu,wind_onshore,37.25,104.0,50.0,1,0.0,0.0,50.0,G100000905830
Gansu,wind_onshore,37.25,104.25,50.0,1,0.0,0.0,50.0,G100000905824
Gansu,wind_onshore,37.5,104.0,50.0,2,0.0,0.0,0.0,G100000921530;G100000921531
Gansu,wind_onshore,38.0,102.0,5680.0,35,0.0,0.0,1473.0,G100000904390;G100000904391;G100000904392;G100000904393;G100000904396;G100000904397;G100000904398;G100000904399;G100000904400;G100000904404;G100000904406;G100000904407;G100000904408;G100000904410;G100000904411;G100000904412;G100000904414;G100000904417;G100000904418;G100000904419;G100000904421;G100000904432;G100000904433;G100000904451;G100000904453;G100000904454;G100000904457;G100000904458;G100000904459;G100000904473;G100000904480;G100000904482;G100000904505;G100000921543;G100000921544
Gansu,wind_onshore,38.25,102.0,49.5,1,0.0,0.0,0.0,G100000921558
Gansu,wind_onshore,38.5,101.5,99.5,2,0.0,0.0,50.0,G100000905819;G100001006846
Gansu,wind_onshore,38.5,101.75,50.0,1,0.0,0.0,50.0,G100000905823
Gansu,wind_onshore,38.5,102.25,100.0,1,0.0,0.0,0.0,G100000921529
Gansu,wind_onshore,38.75,102.25,350.0,6,0.0,0.0,250.0,G100000904401;G100000905822;G100000905831;G100000905832;G100000905833;G100001003686
Gansu,wind_onshore,38.75,102.75,50.0,1,0.0,0.0,50.0,G100000905825
Gansu,wind_onshore,39.0,102.0,350.0,4,350.0,0.0,350.0,G100000904456;G100000904501;G100000904502;G100000905818
Gansu,wind_onshore,39.0,102.25,700.0,2,700.0,0.0,700.0,G100000904498;G100000904499
Gansu,wind_onshore,39.0,102.5,350.0,2,350.0,0.0,300.0,G100000904500;G100001027049
Gansu,wind_onshore,39.25,94.25,450.0,4,0.0,0.0,100.0,G100000904402;G100000904403;G100001001546;G100001001548
Gansu,wind_onshore,39.25,100.0,400.0,2,0.0,0.0,0.0,G100000923562;G100000923564
Gansu,wind_onshore,39.25,100.25,100.0,1,0.0,0.0,0.0,G100001004870
Gansu,wind_onshore,39.25,100.5,49.5,1,0.0,0.0,0.0,G100001027821
Gansu,wind_onshore,39.25,100.75,400.0,4,0.0,0.0,100.0,G100000904503;G100000904504;G100000923545;G100001004879
Gansu,wind_onshore,39.25,102.25,300.0,1,300.0,0.0,0.0,G100000923569
Gansu,wind_onshore,39.5,99.75,200.0,1,0.0,0.0,0.0,G100000923551
Gansu,wind_onshore,39.75,99.25,100.0,1,0.0,0.0,0.0,G100001004874
Gansu,wind_onshore,39.75,99.5,400.0,1,0.0,0.0,0.0,G100000923552
Gansu,wind_onshore,40.0,96.75,145.0,3,0.0,0.0,145.0,G100000904468;G100000904469;G100000904476
Gansu,wind_onshore,40.0,97.0,96.0,2,0.0,0.0,96.0,G100000904474;G100000904475
Gansu,wind_onshore,40.25,94.75,199.5,2,0.0,0.0,0.0,G100000921518;G100000921519
Gansu,wind_onshore,40.25,96.75,603.0,3,0.0,0.0,603.0,G100000904463;G100000904464;G100000904465
