case,season,utilization,slack_base_h,boundary,service_horizon,strict_feasible,maximum_feasible_arrival_utilization,fixed_work,critical_density,critical_start,critical_end,edf_unfinished_work,edf_missed_batches,historical_guard_extended,historical_guard_final_work,boundary_raw_gpu_hour_clipping_share
summer_u0.5_slack6_historical_clip,summer,0.5,6.0,historical_clip,168,True,0.7059744079765711,84.0,0.7082409707075292,86,119,0.0,0,0,83.99999999999991,0.013941893029568924
summer_u0.7_slack6_historical_clip,summer,0.7,6.0,historical_clip,168,True,0.7059744079765711,117.6,0.9915373589905412,86,119,0.0,0,1,117.59999999999998,0.013941893029568924
summer_u0.9_slack6_historical_clip,summer,0.9,6.0,historical_clip,168,False,0.7059744079765711,151.20000000000002,1.2748337472735527,86,119,13.676307344253178,4,50,149.52326525305193,0.013941893029568924
summer_u0.3_slack6_full_tail,summer,0.3,6.0,full_tail,198,True,0.7159561926280487,50.4,0.4190200505128602,86,119,0.0,0,0,50.40000000000001,0.013941893029568924
summer_u0.5_slack6_full_tail,summer,0.5,6.0,full_tail,198,True,0.7159561926280487,84.0,0.698366750854767,86,119,0.0,0,0,83.99999999999991,0.013941893029568924
summer_u0.7_slack6_full_tail,summer,0.7,6.0,full_tail,198,True,0.7159561926280487,117.6,0.9777134511966735,86,119,0.0,0,1,117.59999999999998,0.013941893029568924
summer_u0.9_slack6_full_tail,summer,0.9,6.0,full_tail,198,False,0.7159561926280487,151.20000000000002,1.2570601515385809,86,119,12.523643111179839,4,50,149.52326525305193,0.013941893029568924
summer_u0.3_slack24_historical_clip,summer,0.3,24.0,historical_clip,168,True,0.8454407202286166,50.4,0.3548445122431253,58,168,0.0,0,0,50.4,0.013941893029568924
summer_u0.5_slack24_historical_clip,summer,0.5,24.0,historical_clip,168,True,0.8454407202286166,84.0,0.5914075204052088,58,168,0.0,0,0,83.9999999999999,0.013941893029568924
summer_u0.7_slack24_historical_clip,summer,0.7,24.0,historical_clip,168,True,0.8454407202286166,117.6,0.8279705285672924,58,168,0.0,0,0,117.59999999999994,0.013941893029568924
summer_u0.9_slack24_historical_clip,summer,0.9,24.0,historical_clip,168,False,0.8454407202286166,151.20000000000002,1.064533536729376,58,168,7.098689040231362,19,39,149.52326525305193,0.013941893029568924
summer_u0.3_slack24_full_tail,summer,0.3,24.0,full_tail,216,True,0.9604575680360171,50.4,0.3123511230313403,58,145,0.0,0,0,50.4,0.013941893029568924
summer_u0.5_slack24_full_tail,summer,0.5,24.0,full_tail,216,True,0.9604575680360171,84.0,0.520585205052234,58,145,0.0,0,0,83.9999999999999,0.013941893029568924
summer_u0.7_slack24_full_tail,summer,0.7,24.0,full_tail,216,True,0.9604575680360171,117.6,0.7288192870731275,58,145,0.0,0,0,117.59999999999994,0.013941893029568924
summer_u0.9_slack24_full_tail,summer,0.9,24.0,full_tail,216,True,0.9604575680360171,151.20000000000002,0.9370533690940211,58,145,0.0,0,39,149.52326525305193,0.013941893029568924
autumn_u0.3_slack6_historical_clip,autumn,0.3,6.0,historical_clip,168,True,0.6826787450838465,50.4,0.43944534989609807,159,168,0.0,0,0,50.400000000000006,0.05734340390900117
autumn_u0.5_slack6_historical_clip,autumn,0.5,6.0,historical_clip,168,True,0.6826787450838465,84.0,0.7324089164934966,159,168,0.0,0,0,84.00000000000003,0.05734340390900117
autumn_u0.7_slack6_historical_clip,autumn,0.7,6.0,historical_clip,168,False,0.6826787450838465,117.6,1.0253724830908955,159,168,0.2283523478180573,3,0,117.37164765218196,0.05734340390900117
autumn_u0.9_slack6_historical_clip,autumn,0.9,6.0,historical_clip,168,False,0.6826787450838465,151.20000000000002,1.3183360496882939,159,168,25.42832619959828,12,38,146.45074787441322,0.05734340390900117
autumn_u0.3_slack6_full_tail,autumn,0.3,6.0,full_tail,192,True,0.8644189238550486,50.4,0.34705394771101283,71,159,0.0,0,0,50.400000000000006,0.05734340390900117
autumn_u0.5_slack6_full_tail,autumn,0.5,6.0,full_tail,192,True,0.8644189238550486,84.0,0.5784232461850214,71,159,0.0,0,0,84.00000000000003,0.05734340390900117
autumn_u0.7_slack6_full_tail,autumn,0.7,6.0,full_tail,192,True,0.8644189238550486,117.6,0.8097925446590296,71,159,0.0,0,0,117.37164765218196,0.05734340390900117
autumn_u0.9_slack6_full_tail,autumn,0.9,6.0,full_tail,192,False,0.8644189238550486,151.20000000000002,1.0411618431330383,71,159,3.622242195707368,2,38,146.45074787441322,0.05734340390900117
autumn_u0.3_slack24_historical_clip,autumn,0.3,24.0,historical_clip,168,True,0.6826787450838464,50.4,0.43944534989609807,159,168,0.0,0,0,50.400000000000006,0.05734340390900117
autumn_u0.5_slack24_historical_clip,autumn,0.5,24.0,historical_clip,168,True,0.6826787450838464,84.0,0.7324089164934967,159,168,0.0,0,0,84.0,0.05734340390900117
autumn_u0.7_slack24_historical_clip,autumn,0.7,24.0,historical_clip,168,False,0.6826787450838464,117.6,1.0253724830908952,159,168,0.2283523478180573,3,0,117.37164765218202,0.05734340390900117
autumn_u0.9_slack24_historical_clip,autumn,0.9,24.0,historical_clip,168,False,0.6826787450838464,151.20000000000002,1.3183360496882939,159,168,25.42832619959828,21,9,146.45074787441325,0.05734340390900117
autumn_u0.3_slack24_full_tail,autumn,0.3,24.0,full_tail,210,True,1.0082351948620942,50.4,0.2975496208908219,71,210,0.0,0,0,50.400000000000006,0.05734340390900117
autumn_u0.5_slack24_full_tail,autumn,0.5,24.0,full_tail,210,True,1.0082351948620942,84.0,0.49591603481803637,71,210,0.0,0,0,84.0,0.05734340390900117
autumn_u0.7_slack24_full_tail,autumn,0.7,24.0,full_tail,210,True,1.0082351948620942,117.6,0.6942824487452509,71,210,0.0,0,0,117.37164765218202,0.05734340390900117
autumn_u0.9_slack24_full_tail,autumn,0.9,24.0,full_tail,210,True,1.0082351948620942,151.20000000000002,0.8926488626724656,71,210,0.0,0,9,146.45074787441325,0.05734340390900117
