GEM unit/phase ID,province_source_label,Plant / Project name,Unit / Phase name,capacity_numeric_MW,Status,Start year,Retired year,Technology,Fuel,CHP,Captive Industry Type,Captive Industry Use,Captive Non Industry Use,candidate_category,legacy_mapping,admission,stage34_event_refs,stage34_correspondence,stage34_original_fields_changed,stage34_dispatch_admitted
G100000405533,Jiangsu,Huaneng Nanjing Jinling Gas power station,3,191.0,operating,2013,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405534,Jiangsu,Huaneng Nanjing Jinling Gas power station,4,191.0,operating,2013,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405535,Jiangsu,Huaneng Nantong power station,1,745.0,construction,2026,,combined cycle,fossil gas: natural gas,not found,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,nantong_planned_sequence;nantong_unit2_trial,plant_or_capacity_group_candidate_only,false,false
G100000405536,Jiangsu,Huaneng Nantong power station,2,745.0,construction,2028,,combined cycle,fossil gas: natural gas,not found,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,nantong_planned_sequence;nantong_unit2_trial,plant_or_capacity_group_candidate_only,false,false
G100000405541,Jiangsu,Huaneng Suzhou Gas power station,1,255.0,operating,2017,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405542,Jiangsu,Huaneng Suzhou Gas power station,2,255.0,operating,2017,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100001030385,Jiangsu,Huaneng Suzhou Gas Turbine Innovation and Development Demonstration power station,2,217.0,operating,2024,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405600,Jiangsu,Jiangsu Bairun Xinminzhou Distributed Gas power station,1,75.0,operating,2020,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405601,Jiangsu,Jiangsu Bairun Xinminzhou Distributed Gas power station,2,75.0,operating,2020,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405599,Jiangsu,Jiangsu Changzhou Suyuan power station,1,51.0,operating,1996,,combined cycle,fossil gas: natural gas,not found,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405507,Jiangsu,Jiangsu Huadian Tongzhou Power Station,2025-01-01 00:00:00,200.0,operating,2016,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405508,Jiangsu,Jiangsu Huadian Tongzhou Power Station,2025-02-01 00:00:00,200.0,operating,2016,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405597,Jiangsu,Jiangsu Huafeng Microfiber Distributed Energy Station,1,50.0,operating,2021,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405598,Jiangsu,Jiangsu Huafeng Microfiber Distributed Energy Station,2,50.0,operating,2021,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
